participant,emotion,accuracy
1,pride,100
2,pride,100
3,pride,100
4,pride,100
5,pride,100
6,pride,0
7,pride,100
8,pride,100
9,pride,100
10,pride,100
11,pride,100
12,pride,100
13,pride,0
14,pride,100
15,pride,100
16,pride,100
17,pride,100
18,pride,100
19,pride,0
20,pride,100
21,pride,100
22,pride,100
23,pride,0
24,pride,25
25,pride,100
26,pride,0
27,pride,100
28,pride,100
29,pride,0
30,pride,0
31,pride,100
32,pride,100
33,pride,100
34,pride,100
35,pride,100
36,pride,100
37,pride,100
38,pride,100
39,pride,100
40,pride,100
41,pride,0
42,pride,0
43,pride,100
44,pride,100
45,pride,100
46,pride,100
47,pride,0
48,pride,100
49,pride,0
50,pride,100
51,pride,100
52,pride,100
53,pride,100
54,pride,100
55,pride,0
56,pride,100
57,pride,100
58,pride,100
59,pride,100
60,pride,0
61,pride,100
62,pride,100
63,pride,100
64,pride,100
65,pride,0
66,pride,100
67,pride,50
68,pride,0
69,pride,0
70,pride,0
71,pride,0
72,pride,50
73,pride,100
74,pride,0
75,pride,100
76,pride,0
77,pride,25
78,pride,100
79,pride,100
80,pride,0
81,pride,75
82,pride,100
83,pride,0
84,pride,0
85,pride,100
86,pride,0
87,pride,100
88,pride,0
89,pride,0
90,pride,100
1,happiness,100
2,happiness,0
3,happiness,100
4,happiness,100
5,happiness,100
6,happiness,0
7,happiness,100
8,happiness,100
9,happiness,100
10,happiness,100
11,happiness,100
12,happiness,100
13,happiness,100
14,happiness,100
15,happiness,100
16,happiness,100
17,happiness,100
18,happiness,100
19,happiness,100
20,happiness,100
21,happiness,100
22,happiness,100
23,happiness,100
24,happiness,0
25,happiness,100
26,happiness,100
27,happiness,100
28,happiness,100
29,happiness,100
30,happiness,100
31,happiness,0
32,happiness,0
33,happiness,0
34,happiness,100
35,happiness,100
36,happiness,100
37,happiness,100
38,happiness,0
39,happiness,0
40,happiness,100
41,happiness,0
42,happiness,0
43,happiness,0
44,happiness,0
45,happiness,100
46,happiness,0
47,happiness,0
48,happiness,100
49,happiness,100
50,happiness,0
51,happiness,0
52,happiness,100
53,happiness,0
54,happiness,100
55,happiness,0
56,happiness,100
57,happiness,0
58,happiness,0
59,happiness,100
60,happiness,0
61,happiness,100
62,happiness,100
63,happiness,100
64,happiness,100
65,happiness,100
66,happiness,100
67,happiness,100
68,happiness,100
69,happiness,75
70,happiness,0
71,happiness,25
72,happiness,100
73,happiness,100
74,happiness,0
75,happiness,100
76,happiness,100
77,happiness,100
78,happiness,100
79,happiness,100
80,happiness,100
81,happiness,100
82,happiness,100
83,happiness,100
84,happiness,0
85,happiness,100
86,happiness,100
87,happiness,100
88,happiness,100
89,happiness,0
90,happiness,100
1,surprise,100
2,surprise,100
3,surprise,100
4,surprise,100
5,surprise,100
6,surprise,0
7,surprise,100
8,surprise,100
9,surprise,100
10,surprise,100
11,surprise,100
12,surprise,100
13,surprise,100
14,surprise,100
15,surprise,100
16,surprise,100
17,surprise,100
18,surprise,100
19,surprise,100
20,surprise,100
21,surprise,100
22,surprise,100
23,surprise,100
24,surprise,100
25,surprise,100
26,surprise,0
27,surprise,100
28,surprise,100
29,surprise,100
30,surprise,100
31,surprise,0
32,surprise,0
33,surprise,100
34,surprise,100
35,surprise,100
36,surprise,0
37,surprise,100
38,surprise,100
39,surprise,100
40,surprise,100
41,surprise,100
42,surprise,0
43,surprise,0
44,surprise,100
45,surprise,100
46,surprise,100
47,surprise,100
48,surprise,0
49,surprise,0
50,surprise,100
51,surprise,100
52,surprise,0
53,surprise,100
54,surprise,100
55,surprise,100
56,surprise,100
57,surprise,0
58,surprise,0
59,surprise,100
60,surprise,100
61,surprise,100
62,surprise,100
63,surprise,100
64,surprise,100
65,surprise,100
66,surprise,100
67,surprise,100
68,surprise,100
69,surprise,100
70,surprise,0
71,surprise,0
72,surprise,0
73,surprise,100
74,surprise,100
75,surprise,0
76,surprise,100
77,surprise,100
78,surprise,100
79,surprise,100
80,surprise,0
81,surprise,0
82,surprise,100
83,surprise,100
84,surprise,0
85,surprise,100
86,surprise,100
87,surprise,100
88,surprise,100
89,surprise,100
90,surprise,100
